Timestamp,Distance (cm)
2024-08-15 00:00:00,5.1
2024-08-15 00:00:01,0.0
2024-08-15 00:00:02,0.0
2024-08-15 00:00:03,5.1
2024-08-15 00:00:04,0.0
2024-08-15 00:00:05,0.0
2024-08-15 00:00:06,5.1
2024-08-15 00:00:07,0.0
2024-08-15 00:00:08,0.0
2024-08-15 00:00:09,5.1
2024-08-15 00:00:10,5.1
2024-08-15 00:00:11,5.1
2024-08-15 00:00:12,5.1
2024-08-15 00:00:13,5.1
2024-08-15 00:00:14,5.1
2024-08-15 00:00:15,5.1
2024-08-15 00:00:16,5.1
2024-08-15 00:00:17,5.1
2024-08-15 00:00:18,5.1
2024-08-15 00:00:19,5.1
2024-08-15 00:00:20,5.1
2024-08-15 00:00:21,5.1
2024-08-15 00:00:22,5.1
2024-08-15 00:00:23,5.1
2024-08-15 00:00:24,5.1
2024-08-15 00:00:25,5.1
2024-08-15 00:00:26,5.1
2024-08-15 00:00:27,5.1
2024-08-15 00:00:28,5.1
2024-08-15 00:00:29,5.1
2024-08-15 00:00:30,5.1
2024-08-15 00:00:31,5.1
2024-08-15 00:00:32,5.1
2024-08-15 00:00:33,5.1
2024-08-15 00:00:34,5.1
2024-08-15 00:00:35,5.1
2024-08-15 00:00:36,5.1
2024-08-15 00:00:37,5.1
2024-08-15 00:00:38,5.1
2024-08-15 00:00:39,5.1
2024-08-15 00:00:40,5.1
2024-08-15 00:00:41,5.1
2024-08-15 00:00:42,5.1
2024-08-15 00:00:43,5.1
2024-08-15 00:00:44,5.1
2024-08-15 00:00:45,5.1
2024-08-15 00:00:46,5.1
2024-08-15 00:00:47,5.1
2024-08-15 00:00:48,5.1
2024-08-15 00:00:49,5.1
2024-08-15 00:00:50,5.1
2024-08-15 00:00:51,5.1
2024-08-15 00:00:52,5.1
2024-08-15 00:00:53,5.1
2024-08-15 00:00:54,5.1
2024-08-15 00:00:55,5.1
2024-08-15 00:00:56,5.1
2024-08-15 00:00:57,5.1
2024-08-15 00:00:58,5.1
2024-08-15 00:00:59,5.1
2024-08-15 00:01:00,5.1
2024-08-15 00:01:01,5.1
2024-08-15 00:01:02,5.1
2024-08-15 00:01:03,5.1
2024-08-15 00:01:04,5.1
2024-08-15 00:01:05,5.1
2024-08-15 00:01:06,5.1
2024-08-15 00:01:07,5.1
2024-08-15 00:01:08,5.1
2024-08-15 00:01:09,5.1
2024-08-15 00:01:10,5.1
2024-08-15 00:01:11,5.1
2024-08-15 00:01:12,5.1
2024-08-15 00:01:13,5.1
2024-08-15 00:01:14,5.1
2024-08-15 00:01:15,5.1
2024-08-15 00:01:16,5.1
2024-08-15 00:01:17,5.1
2024-08-15 00:01:18,5.1
2024-08-15 00:01:19,5.1
2024-08-15 00:01:20,5.1
2024-08-15 00:01:21,5.1
2024-08-15 00:01:22,5.1
2024-08-15 00:01:23,5.1
2024-08-15 00:01:24,5.1
2024-08-15 00:01:25,5.1
2024-08-15 00:01:26,5.1
2024-08-15 00:01:27,5.1
2024-08-15 00:01:28,5.1
2024-08-15 00:01:29,5.1
2024-08-15 00:01:30,5.1
2024-08-15 00:01:31,5.1
2024-08-15 00:01:32,5.1
2024-08-15 00:01:33,5.1
2024-08-15 00:01:34,5.1
2024-08-15 00:01:35,5.1
2024-08-15 00:01:36,5.1
2024-08-15 00:01:37,5.1
2024-08-15 00:01:38,5.1
2024-08-15 00:01:39,5.1
2024-08-15 00:01:40,5.1
2024-08-15 00:01:41,5.1
2024-08-15 00:01:42,5.1
2024-08-15 00:01:43,5.1
2024-08-15 00:01:44,5.1
2024-08-15 00:01:45,5.1
2024-08-15 00:01:46,5.1
2024-08-15 00:01:47,5.1
2024-08-15 00:01:48,5.1
2024-08-15 00:01:49,5.1
2024-08-15 00:01:50,5.1
2024-08-15 00:01:51,5.1
2024-08-15 00:01:52,5.1
2024-08-15 00:01:53,5.1
2024-08-15 00:01:54,5.1
2024-08-15 00:01:55,5.1
2024-08-15 00:01:56,5.1
2024-08-15 00:01:57,5.1
2024-08-15 00:01:58,5.1
2024-08-15 00:01:59,5.1
2024-08-15 00:02:00,5.1
2024-08-15 00:02:01,5.1
2024-08-15 00:02:02,5.1
2024-08-15 00:02:03,5.1
2024-08-15 00:02:04,5.1
2024-08-15 00:02:05,5.1
2024-08-15 00:02:06,5.1
2024-08-15 00:02:07,5.1
2024-08-15 00:02:08,5.1
2024-08-15 00:02:09,5.1
2024-08-15 00:02:10,5.1
2024-08-15 00:02:11,5.1
2024-08-15 00:02:12,5.1
2024-08-15 00:02:13,5.1
2024-08-15 00:02:14,5.1
2024-08-15 00:02:15,5.1
2024-08-15 00:02:16,5.1
2024-08-15 00:02:17,5.1
2024-08-15 00:02:18,5.1
2024-08-15 00:02:19,5.1
2024-08-15 00:02:20,5.1
2024-08-15 00:02:21,5.1
2024-08-15 00:02:22,5.1
2024-08-15 00:02:23,5.1
2024-08-15 00:02:24,5.1
2024-08-15 00:02:25,5.1
2024-08-15 00:02:26,5.1
2024-08-15 00:02:27,5.1
2024-08-15 00:02:28,5.1
2024-08-15 00:02:29,5.1
2024-08-15 00:02:30,5.1
2024-08-15 00:02:31,5.1
2024-08-15 00:02:32,5.1
2024-08-15 00:02:33,5.1
2024-08-15 00:02:34,5.1
2024-08-15 00:02:35,5.1
2024-08-15 00:02:36,5.1
2024-08-15 00:02:37,5.1
2024-08-15 00:02:38,5.1
2024-08-15 00:02:39,5.1
2024-08-15 00:02:40,5.1
2024-08-15 00:02:41,5.1
2024-08-15 00:02:42,5.1
2024-08-15 00:02:43,5.1
2024-08-15 00:02:44,5.1
2024-08-15 00:02:45,5.1
2024-08-15 00:02:46,5.1
2024-08-15 00:02:47,5.1
2024-08-15 00:02:48,5.1
2024-08-15 00:02:49,5.1
2024-08-15 00:02:50,5.1
2024-08-15 00:02:51,5.1
2024-08-15 00:02:52,5.1
2024-08-15 00:02:53,5.1
2024-08-15 00:02:54,5.1
2024-08-15 00:02:55,5.1
2024-08-15 00:02:56,5.1
2024-08-15 00:02:57,5.1
2024-08-15 00:02:58,5.1
2024-08-15 00:02:59,5.1
2024-08-15 00:03:00,5.1
2024-08-15 00:03:01,5.1
2024-08-15 00:03:02,5.1
2024-08-15 00:03:03,5.1
2024-08-15 00:03:04,5.1
2024-08-15 00:03:05,5.1
2024-08-15 00:03:06,5.1
2024-08-15 00:03:07,5.1
2024-08-15 00:03:08,5.1
2024-08-15 00:03:09,5.1
2024-08-15 00:03:10,5.1
2024-08-15 00:03:11,5.1
2024-08-15 00:03:12,5.1
2024-08-15 00:03:13,5.1
2024-08-15 00:03:14,5.1
2024-08-15 00:03:15,5.1
2024-08-15 00:03:16,5.1
2024-08-15 00:03:17,5.1
2024-08-15 00:03:18,5.1
2024-08-15 00:03:19,5.1
2024-08-15 00:03:20,5.1
2024-08-15 00:03:21,5.1
2024-08-15 00:03:22,5.1
2024-08-15 00:03:23,5.1
2024-08-15 00:03:24,5.1
2024-08-15 00:03:25,5.1
2024-08-15 00:03:26,5.1
2024-08-15 00:03:27,5.1
2024-08-15 00:03:28,5.1
2024-08-15 00:03:29,5.1
2024-08-15 00:03:30,5.1
2024-08-15 00:03:31,5.1
2024-08-15 00:03:32,5.1
2024-08-15 00:03:33,5.1
2024-08-15 00:03:34,5.1
2024-08-15 00:03:35,5.1
2024-08-15 00:03:36,5.1
2024-08-15 00:03:37,5.1
2024-08-15 00:03:38,5.1
2024-08-15 00:03:39,5.1
2024-08-15 00:03:40,5.1
2024-08-15 00:03:41,5.1
2024-08-15 00:03:42,5.1
2024-08-15 00:03:43,5.1
2024-08-15 00:03:44,5.1
2024-08-15 00:03:45,5.1
2024-08-15 00:03:46,5.1
2024-08-15 00:03:47,5.1
2024-08-15 00:03:48,5.1
2024-08-15 00:03:49,5.1
2024-08-15 00:03:50,5.1
2024-08-15 00:03:51,5.1
2024-08-15 00:03:52,5.1
2024-08-15 00:03:53,5.1
2024-08-15 00:03:54,5.1
2024-08-15 00:03:55,5.1
2024-08-15 00:03:56,5.1
2024-08-15 00:03:57,5.1
2024-08-15 00:03:58,5.1
2024-08-15 00:03:59,5.1
2024-08-15 00:04:00,5.1
2024-08-15 00:04:01,5.1
2024-08-15 00:04:02,5.1
2024-08-15 00:04:03,5.1
2024-08-15 00:04:04,5.1
2024-08-15 00:04:05,5.1
2024-08-15 00:04:06,5.1
2024-08-15 00:04:07,5.1
2024-08-15 00:04:08,5.1
2024-08-15 00:04:09,5.1
2024-08-15 00:04:10,5.1
2024-08-15 00:04:11,5.1
2024-08-15 00:04:12,5.1
2024-08-15 00:04:13,5.1
2024-08-15 00:04:14,5.1
2024-08-15 00:04:15,5.1
2024-08-15 00:04:16,5.1
2024-08-15 00:04:17,5.1
2024-08-15 00:04:18,5.1
2024-08-15 00:04:19,5.1
2024-08-15 00:04:20,5.1
2024-08-15 00:04:21,5.1
2024-08-15 00:04:22,5.1
2024-08-15 00:04:23,5.1
2024-08-15 00:04:24,5.1
2024-08-15 00:04:25,5.1
2024-08-15 00:04:26,5.1
2024-08-15 00:04:27,5.1
2024-08-15 00:04:28,5.1
2024-08-15 00:04:29,5.1
2024-08-15 00:04:30,5.1
2024-08-15 00:04:31,5.1
